X,Y,Z,U,V
-4.4562988,-5.36816406,15.73828125,0.1968,0.6826
0.0390625,-6.58984375,11.98895836,0.5117,0.8359
5.5390625,-5.08984375,11.98596191,0.8608,0.7534
-5.9609375,2.41015625,11.99110317,0.1543,0.356
-6.4609375,4.91015625,11.99893188,0.1455,0.2715
-3.4609375,1.91015625,12.01037598,0.3018,0.4043
-4.4814453,-2.77026367,11.98895836,0.2207,0.6309
3.0390625,-4.58984375,11.98596191,0.7046,0.7163
-0.4609375,9.91015625,9.987030029,0.4766,0.1533
3.0390625,12.41015625,9.989228249,0.6436,0.0625
7.0390625,10.41015625,9.987030029,0.8438,0.0825
8.0163574,12.28369141,9.989228249,0.8896,0.0557
7.5390625,7.41015625,9.990081787,0.8828,0.2324
4.5390625,7.41015625,9.990081787,0.7305,0.2251
5.5390625,6.41015625,9.990081787,0.7847,0.2632
3.740722656,1.752441406,11.98895836,0.7177734375,0.404296875
2.740722656,1.752685547,11.98895836,0.6591796875,0.404296875
1.740966797,1.753173828,11.98895836,0.6005859375,0.404296875
0.741210938,1.75390625,11.98895836,0.5419921875,0.404296875
-0.258300781,1.754638672,11.98895836,0.4833984375,0.404296875
-1.257568359,1.755859375,11.98895836,0.4248046875,0.404296875
-1.256103516,0.757324219,11.98895836,0.4248046875,0.4580078125
-1.254882813,-0.241699219,11.98895836,0.4248046875,0.5009765625
-1.25390625,-1.241210938,11.98895836,0.4248046875,0.556640625
-1.253417969,-2.240966797,11.98895836,0.4248046875,0.60546875
-1.252929688,-3.240722656,11.98895836,0.4248046875,0.66015625
-1.252441406,-4.240722656,11.98895836,0.4248046875,0.724609375
