name,sc_type,owner,pos.x,pos.y,pos.z,radius,is_on_screen,wbs_expected
Camera,-1,-1,13.75,121.75,0.0,-1,False,False
LabMineralField,665,16,9.0,120.5,11.988958358764648,1.125,True,True
LabMineralField750,666,16,8.0,121.5,11.988958358764648,1.125,True,True
LabMineralField,665,16,13.0,126.5,11.9859619140625,1.125,True,True
SCV,45,1,12.492431640625,123.505859375,11.988958358764648,0.375,True,True
SCV,45,1,12.49658203125,119.509033203125,11.988958358764648,0.375,True,True
SCV,45,1,12.4970703125,118.50927734375,11.988958358764648,0.375,True,True
SCV,45,1,12.49755859375,117.50927734375,11.988958358764648,0.375,True,True
SCV,45,1,17.49072265625,123.50244140625,11.988958358764648,0.375,True,True
SCV,45,1,15.490966796875,123.503173828125,11.988958358764648,0.375,True,True
SCV,45,1,14.4912109375,123.50390625,11.988958358764648,0.375,True,True
SCV,45,1,12.493896484375,122.50732421875,11.988958358764648,0.375,True,True
LabMineralField,665,16,16.0,126.5,11.9859619140625,1.125,True,True
LabMineralField750,666,16,9.0,124.5,11.988958358764648,1.125,True,True
LabMineralField750,666,16,15.0,127.5,11.9859619140625,1.125,True,True
SpacePlatformGeyser,343,16,8.5,117.5,11.988958358764648,1.5,True,True
SCV,45,1,12.4951171875,121.50830078125,11.988958358764648,0.375,True,True
SCV,45,1,16.49072265625,123.502685546875,11.988958358764648,0.375,True,True
SCV,45,1,12.49609375,120.5087890625,11.988958358764648,0.375,True,True
SCV,45,1,13.49169921875,123.504638671875,11.988958358764648,0.375,True,True
CommandCenter,18,1,15.5,120.5,11.988958358764648,2.75,True,True
LabMineralField,665,16,9.0,122.5,11.988958358764648,1.125,True,True
SpacePlatformGeyser,343,16,19.5,127.5,11.9859619140625,1.5,True,True
LabMineralField750,666,16,10.0,125.5,11.988958358764648,1.125,True,True
